indroea;ano_hidr;ano_hidr1;qcio;qci;extr_a_com;mes_ci;dia_ci;qco;qc;extr_a_comv;mes_c;dia_c
2050;1936;1937;;;;;;;29.5;INCOMPLETO CON VALOR ALTO;3;
2016;1930;1931;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;27
2016;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;29
2016;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;6;25
2016;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;24
2016;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;27
2016;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;5;18
2015;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;31
2016;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;21
2021;1916;1917;;;;;;;58.1;VALOR COMPLETADO;12;23
2016;1920;1921;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;6;1
2016;1917;1918;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;4
2016;1916;1917;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;18
2016;1915;1916;;;;;;;26.6;INCOMPLETO CON VALOR ALTO;12;25
2016;1914;1915;;;;;;;29;INCOMPLETO CON VALOR ALTO;1;8
2015;1934;1935;;;;;;;205.8;VALOR COMPLETADO;12;
2015;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;21
2015;1928;1929;;;;;;;96;VALOR COMPLETADO;2;4
2016;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;26
2086;1928;1929;;;;;;;36;VALOR COMPLETADO;2;25
2087;1921;1922;;;;;;;342;VALOR COMPLETADO;1;31
2087;1920;1921;;;;;;;316;INCOMPLETO CON VALOR ALTO;11;6
2087;1919;1920;;;;;;;424;VALOR COMPLETADO;11;15
2087;1918;1919;;;;;;;396;VALOR COMPLETADO;4;2
2087;1917;1918;;;;;;;186;VALOR COMPLETADO;1;22
2087;1916;1917;;;;;;;204;VALOR COMPLETADO;12;
2087;1915;1916;;;;;;;304;VALOR COMPLETADO;3;18
2096;1961;1962;;2500;VALOR COMPLETADO;1;;1729;;;;
2086;1929;1930;;;;;;;80.2;VALOR COMPLETADO;12;4
2087;1924;1925;;;;;;;380;VALOR COMPLETADO;6;5
2086;1927;1928;;;;;;;457;VALOR COMPLETADO;12;25
2086;1926;1927;;;;;;;220;VALOR COMPLETADO;11;21
2086;1925;1926;;;;;;;404;VALOR COMPLETADO;12;22
2086;1924;1925;;;;;;;260;VALOR COMPLETADO;11;26
2086;1923;1924;;;;;;;520;VALOR COMPLETADO;3;25
2086;1922;1923;;;;;;;430;VALOR COMPLETADO;10;21
2086;1921;1922;;;;;;;146;VALOR COMPLETADO;;
2086;1937;1938;;;;;;;701.1;INCOMPLETO CON VALOR ALTO;11;
2092;1920;1921;;;;;;;97;VALOR COMPLETADO;11;6
2050;1934;1935;;;;;;;20.3;VALOR COMPLETADO;12;
2095;1945;1946;;;;;;;1285;VALOR COMPLETADO;5;2
