ref_ceh;anomes;hmedmes;qmedmes;apormedmes;qcmes;hcmes;dia_cmes;qnmes;hnmes;dia_nmes;orig_dato_id
2401;197512;0.58;3.83;10.259;4.63;0.65;4;2.47;0.44;7;1
2401;197601;0.53;3.416;9.15;4.4;0.63;19;0.07;0.02;6;1
2401;197602;0.53;3.364;8.429;4.05;0.6;5;2.22;0.41;29;1
2401;197603;0.46;2.668;7.146;4.4;0.63;27;1.68;0.34;14;1
2401;197604;0.2;0.882;2.287;2.39;0.43;28;0.22;0.06;25;1
2401;197605;0.11;0.48;1.286;2.74;0.47;18;0;0;22;1
2401;197606;0.08;0.282;0.732;0.45;0.12;23;0.04;0.01;13;1
2401;197607;0.08;0.28;0.75;0.5;0.13;18;0.04;0.01;16;1
2401;197608;0.08;0.316;0.846;0.63;0.16;26;0.04;0.01;8;1
2401;197609;0.28;1.43;3.707;3.32;0.53;28;0.04;0.01;12;1
2401;197610;0.53;3.399;9.105;4.05;0.6;6;0.29;0.08;17;1
2401;197611;0.58;3.822;9.906;5.09;0.69;15;1.75;0.35;14;1
2401;197612;0.56;3.63;9.723;4.28;0.62;9;3.02;0.5;25;1
2401;197701;0.49;2.979;7.978;3.42;0.54;14;2.05;0.39;30;1
2401;197702;0.48;2.87;6.942;4.05;0.6;18;1.35;0.29;9;1
2401;197703;0.49;3.14;8.409;5.43;0.72;21;0.18;0.05;30;1
2401;197704;0.48;2.916;7.558;4.28;0.62;24;1.35;0.29;1;1
2401;197705;0.31;1.488;3.985;2.22;0.41;23;0.68;0.17;3;1
